Sl.No.,Heads Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,,
732,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),Attempt to Commit Murder for dowry by burning (Sec.307 IPC),1,0,0,0,37,,738,,,327,
733,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),Attempt to Commit Murder for dowry by other means (Sec.307 IPC),14,3,0,3,631,,34,,,11,
734,C. CRIMES AGAINST WOMEN,Attempt to Commit murder for other reasons,Attempt to Commit murder for other reasons,745,48,89,91,213,,704,,,316,
735,C. CRIMES AGAINST WOMEN,"Dowry Death-by burning
(Sec.304-B IPC)","Dowry Death-by burning
(Sec.304-B IPC)",1,1,0,0,16,,459-32,,,,
736,C. CRIMES AGAINST WOMEN,Dowry Death-by other Means (Sec.304(B) IPC),Dowry Death-by other Means (Sec.304(B) IPC),84,14,10,6,197,,,,,,
737,C. CRIMES AGAINST WOMEN,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),2142,226,238,251,,,,,428,,
738,C. CRIMES AGAINST WOMEN,Abetment of Suicide (Sec.306 IPC),Abetment of Suicide (Sec.306 IPC),129,14,12,16,,408,,,11,,
739,C. CRIMES AGAINST WOMEN,Immoral Traffic (prevention) Act.,Immoral Traffic (prevention) Act.,115,30,12,20,,,,,417,,
740,C. CRIMES AGAINST WOMEN,Indecent Representation of Women(Prohibition) Act-1986,Indecent Representation of Women(Prohibition) Act-1986,1,0,0,0,,,,,,,
741,C. CRIMES AGAINST WOMEN,Pornography,Pornography,2,0,0,1,,,224,,,,
742,C. CRIMES AGAINST WOMEN,Offences against Public Servants (Sec.182-188-333-353 IPC),Offences against Public Servants (Sec.182-188-333-353 IPC),108,20,13,16,,,,393,,,
743,C. CRIMES AGAINST WOMEN,Offences related to Marriage,Offences related to Marriage,25,2,2,4,,,,29,,,
744,C. CRIMES AGAINST WOMEN,Cyber Crimes,Cyber Crimes,3389,559,352,397,,,,364,,,
745,D.CRIME AGAINST CHILDREN,"Infanticide/ Foeticide 
(Sec. 315 & 316 IPC)",NA,5,0,0,0,,,,,,,
746,D.CRIME AGAINST CHILDREN,Rape on Minor,NA,0,0,0,0,,,,,,,
747,D.CRIME AGAINST CHILDREN,Exposure & abandonment (Sec. 317 IPC),NA,51,4,7,7,,,,,,,
748,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,NA,2890,318,294,348,,,,,,,
749,D.CRIME AGAINST CHILDREN,For Ransom - of Children,NA,6,0,0,1,,,,,,,
750,D.CRIME AGAINST CHILDREN,of Children - for begging,NA,0,0,0,0,,,,,,,
751,D.CRIME AGAINST CHILDREN,of Girls - Immoral Purpose,NA,0,0,0,0,,,,,,,
752,D.CRIME AGAINST CHILDREN,With intent to Steal from Child,NA,0,0,0,0,,,,,,,
753,D.CRIME AGAINST CHILDREN,Lawful Guardianship,NA,1,0,0,0,,,,,,,
754,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Prostitution,NA,0,0,0,0,,,,3521,,,
755,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - Importing of Girl,NA,0,0,0,0,,,,31,,,
756,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Other Purposes,NA,11,1,1,2,,,,3490,,,
757,D.CRIME AGAINST CHILDREN,Selling of girls for Prostitution (Sec.372 IPC),NA,0,0,0,0,,,,,,,
758,D.CRIME AGAINST CHILDREN,The Prohibition of Child Marriage Act - 2006,NA,151,11,18,13,,,,,,,
759,D.CRIME AGAINST CHILDREN,POCSO Act,NA,3332,339,379,338,,,,,,,
760,D.CRIME AGAINST CHILDREN,Death of Children due to miscarriage,NA,15,0,2,0,,,,,,,
761,D.CRIME AGAINST CHILDREN,Juvenile Justice Act,NA,111,10,5,8,,,,,,,
762,D.CRIME AGAINST CHILDREN,Child Labour (Pro.& Reg.) Act,NA,65,5,8,4,,,,,,,
763,D.CRIME AGAINST CHILDREN,Probation of Offenders Act,NA,0,1,0,0,,,,,,,
764,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Murder,,74,9,9,6,,,,,,,
765,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Rape,,122,10,16,16,,,,,,,
766,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Kidnapping,,133,15,12,11,,,,,,,
767,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the Protection of Civil Rights Act.,,7,0,0,0,,,,,,,
768,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the SC & ST  (prevention of Atrocities)Act 1989 (if the victim is SC),,1383,146,135,173,,,,,,,
